Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,NumWebVisitsMonth,Age,Total_campaigns,Purchase_frequency
39747,1,0,80,93,20,8,37,0,13
23976,1,0,14,21,2,7,41,0,10
80950,0,0,525,112,120,2,64,1,23
27038,0,0,1,25,17,9,59,0,7
77457,0,0,675,400,15,1,78,1,18
64100,0,1,509,27,0,7,61,1,18
42670,0,0,154,46,20,4,33,0,11
12571,1,0,3,14,2,6,49,0,11
22574,2,1,25,8,2,7,58,0,7
51381,0,0,861,461,60,3,36,2,24
70893,0,0,768,556,77,3,49,0,23
54198,1,1,185,28,3,4,59,0,16
28839,1,1,24,7,0,5,69,0,7
40321,1,1,44,21,6,7,53,0,8
66503,1,0,91,128,65,3,40,0,15
30833,1,1,11,7,3,5,74,0,6
51381,1,2,738,172,52,7,55,2,21
64795,0,1,412,119,38,2,54,0,21
34421,1,0,3,7,6,7,51,0,4
47025,1,1,16,3,0,7,60,0,4
64325,0,1,731,353,78,7,64,0,23
40464,0,1,424,118,7,8,72,0,24
62187,0,0,792,275,45,3,68,0,18
14849,1,0,21,28,3,8,49,0,9
27255,1,0,22,11,0,7,41,0,5
54432,2,1,33,5,0,4,75,0,5
29999,1,0,68,59,10,8,39,0,12
24072,1,0,9,6,3,8,42,0,4
33996,0,0,40,15,8,4,36,0,6
66334,0,1,909,218,0,5,69,0,19
35178,1,0,23,13,2,7,54,1,5
22010,1,0,11,9,3,8,42,0,7
62204,0,2,317,247,120,3,65,0,22
75693,0,0,797,293,72,4,57,3,22
30675,1,0,10,16,11,8,53,0,5
83003,0,0,856,556,40,3,60,1,22
83532,0,0,755,556,104,1,93,1,15
68655,0,0,456,556,75,3,37,0,21
41411,0,0,37,38,11,6,39,0,8
55212,0,1,1103,45,0,8,56,2,20
59292,0,1,378,68,19,3,75,0,18
27190,1,0,1,7,0,8,52,1,4
82623,0,0,204,204,120,1,73,0,16
44300,1,1,30,9,0,6,60,0,6
84835,0,0,189,379,111,1,55,0,15
30372,1,1,15,12,7,7,54,0,8
33181,1,0,9,3,0,6,49,1,4
71113,0,1,495,255,11,4,68,0,26
71952,1,0,656,455,52,4,39,2,22
69759,0,0,452,514,13,3,59,0,18
72099,0,0,546,410,119,1,51,0,18
60000,0,1,1048,217,0,6,49,0,24
38643,1,1,22,14,0,7,47,0,7
50737,0,1,78,11,0,6,70,1,7
68462,0,0,561,556,84,1,56,0,15
65073,0,0,629,177,69,2,82,0,14
46681,0,2,269,69,15,5,77,0,16
78618,0,0,736,556,120,2,68,1,22
62187,0,1,512,83,0,4,56,0,21
28442,2,0,19,10,11,4,47,0,10
37717,1,0,9,6,4,9,47,0,4
51479,1,1,247,160,6,7,58,0,21
54803,0,1,404,92,28,4,56,0,19
79530,0,0,333,556,120,2,65,0,26
31615,1,0,2,20,6,7,49,0,7
72025,0,0,833,549,120,3,63,0,16
52614,0,1,789,142,12,8,50,0,16
35684,1,0,10,7,0,6,41,0,5
48178,1,1,159,45,6,8,50,0,16
29548,1,0,7,6,3,4,55,1,5
63810,0,1,977,253,16,8,59,1,23
38578,1,1,38,22,3,8,53,0,9
46098,1,1,57,27,0,8,50,0,11
22585,0,0,3,15,13,9,55,1,5
30279,1,0,10,14,4,8,36,0,5
66426,0,1,1043,97,32,6,64,0,20
30822,1,0,3,13,2,7,56,0,5
33581,2,0,11,5,0,8,56,0,4
19986,1,0,3,5,0,7,40,0,4
27421,0,0,43,96,78,7,71,0,14
35688,2,1,73,90,12,8,52,0,15
36143,1,0,12,1,0,3,44,0,4
10245,1,0,4,7,6,5,54,0,8
43795,0,1,314,53,4,7,57,1,17
63381,0,1,571,142,33,2,65,0,26
38823,0,1,70,11,2,6,76,0,7
83664,1,1,866,151,28,5,57,0,19
90300,0,0,594,556,33,1,46,1,19
62499,1,0,140,61,0,4,46,0,12
74293,0,0,375,335,93,2,32,0,16
51012,0,0,102,63,2,6,79,0,10
70777,0,1,554,113,0,3,57,0,23
68682,0,0,919,505,99,2,34,0,24
43824,1,1,96,42,12,8,54,0,12
15345,1,0,5,16,3,8,41,0,6
23442,1,0,2,6,8,7,38,0,5
14515,1,0,6,9,6,7,45,0,11
31395,1,1,23,25,0,6,69,0,10
75276,0,0,610,125,120,5,60,0,23
42373,1,1,67,61,3,5,51,0,13
30507,0,0,65,74,38,7,65,0,11
55521,1,2,416,26,0,7,70,1,21
48006,1,1,23,11,3,6,60,0,5
27213,1,0,19,26,10,8,53,0,9
65808,1,1,155,80,13,6,54,0,14
30351,1,0,14,24,3,9,51,0,6
50437,0,2,370,92,6,7,62,0,19
23616,1,0,4,11,3,8,43,0,8
53858,0,1,407,221,58,4,49,0,17
66465,0,1,1200,204,38,6,70,1,35
46923,1,0,85,54,102,7,38,0,16
75072,0,1,583,309,0,3,63,0,19
75865,0,0,483,556,120,1,82,0,19
19789,1,0,2,9,28,5,50,1,9
80134,0,0,966,282,52,5,31,4,21
91065,0,0,822,108,120,3,44,2,26
49505,1,1,604,100,19,8,54,0,26
37401,1,0,19,19,3,7,52,0,7
30096,1,0,5,11,12,6,42,0,6
18492,1,0,2,2,2,8,43,0,4
82584,0,0,1076,103,29,1,51,2,16
93027,0,0,1225,556,55,2,84,1,22
48686,1,2,10,7,2,8,72,0,4
92910,0,0,551,556,120,1,39,3,27
75433,1,0,800,297,0,6,36,2,19
10404,1,0,2,11,10,5,36,0,7
61314,0,1,378,189,97,3,57,0,24
84865,0,0,1225,349,43,4,64,4,16
42387,1,0,235,235,19,8,36,0,21
67309,1,1,515,181,120,7,58,0,30
75236,0,1,438,400,12,4,61,0,25
30015,1,0,25,22,2,5,55,0,7
50943,0,1,31,7,2,5,69,0,5
67272,0,1,357,271,28,5,59,0,23
51529,0,1,400,35,6,8,76,0,17
32011,1,0,99,15,2,7,54,0,10
7500,1,0,1,5,4,8,39,0,7
28691,1,0,5,13,8,8,36,0,5
56223,0,1,77,31,16,4,77,0,10
18100,0,0,3,2,4,5,79,0,4
30279,1,0,10,14,4,8,36,0,5
20130,0,0,0,3,7,8,51,0,5
23295,0,0,0,1,2,8,66,0,4
42618,1,0,76,74,13,8,53,0,11
81246,0,0,398,537,61,1,61,2,17
24027,1,0,14,11,11,8,49,0,7
55707,0,1,208,82,30,3,72,0,16
57959,0,1,430,322,43,3,70,0,27
56796,0,1,656,161,62,7,56,0,27
36230,1,0,14,30,8,5,54,0,7
70829,1,1,141,106,72,3,45,0,16
65991,0,1,507,364,25,7,49,0,27
38988,1,2,164,103,12,8,53,0,18
89572,0,0,606,556,120,4,59,2,24
42207,1,0,116,72,3,6,41,1,14
50300,0,1,143,60,24,2,73,0,13
66664,0,0,398,447,120,3,43,0,19
60597,0,1,522,257,32,7,61,1,16
70165,0,0,161,253,120,1,76,0,22
50520,0,1,112,6,2,6,67,0,9
80124,0,0,483,398,120,1,62,1,19
33183,1,0,7,39,17,7,50,0,9
66582,0,0,789,420,16,1,56,0,20
75261,0,0,1225,413,23,2,70,2,17
31880,1,0,4,5,2,8,55,0,4
53790,0,2,335,127,28,6,74,0,20
49269,1,0,639,166,11,7,54,0,25
61456,0,1,563,384,84,4,50,0,33
37406,1,0,2,8,2,8,45,0,4
56937,1,0,746,125,11,6,44,1,29
38415,1,1,22,13,4,7,47,0,6
20518,1,0,4,6,4,5,37,0,5
62503,0,1,478,193,110,5,69,0,26
41644,1,1,20,4,2,3,53,0,6
55842,0,1,451,39,0,5,48,0,17
62010,0,1,371,39,6,5,53,0,19
41124,1,0,281,84,15,8,48,0,20
38961,1,0,19,19,0,7,52,0,6
37760,1,0,26,13,2,6,53,0,6
32233,1,0,138,35,25,9,51,1,12
43057,0,1,213,44,0,5,50,0,15
83151,0,0,407,100,120,3,65,0,19
78825,0,0,483,114,120,3,61,0,29
65104,0,1,738,232,13,7,49,0,17
60093,0,1,502,109,16,6,51,0,21
14045,1,0,11,5,2,7,56,0,5
28457,0,0,24,108,29,8,73,0,10
78952,0,1,1170,556,99,6,67,0,21
46310,1,0,185,88,15,8,49,0,14
76005,0,0,983,389,120,6,70,1,22
58308,0,1,691,69,10,8,61,0,15
55614,0,0,504,131,8,7,81,1,20
59432,0,1,317,265,25,5,63,0,22
55563,0,1,29,9,2,3,47,0,6
78642,0,1,1225,322,46,6,54,0,18
67911,0,1,529,356,63,3,76,0,27
65275,0,0,388,218,91,2,81,0,21
27203,1,1,13,21,4,8,75,0,6
48330,0,1,28,4,0,5,64,0,5
24279,0,0,16,21,20,8,35,0,9
64355,1,0,1047,140,67,8,40,0,21
50943,0,1,31,7,2,5,69,0,5
53653,0,0,815,239,28,6,72,0,28
65665,0,1,225,387,106,3,49,0,24
81217,0,0,493,324,120,1,36,0,22
34935,0,0,34,66,3,7,33,0,8
61250,0,1,382,65,60,5,66,0,25
39665,1,0,127,56,0,7,44,1,12
60152,0,1,325,300,86,3,46,0,23
48920,0,2,238,68,8,7,61,1,16
89120,0,0,1168,408,72,1,66,1,19
44124,0,1,284,55,0,8,79,0,17
81169,0,0,1225,556,80,2,50,0,22
36443,1,1,65,46,4,8,64,0,11
26095,1,0,11,9,3,7,35,0,5
71367,0,0,227,389,42,2,66,0,17
80184,0,0,1035,556,25,3,81,2,20
30630,1,1,27,12,2,7,60,0,7
73454,0,0,982,351,56,5,38,1,13
42691,0,0,179,64,38,5,34,0,13
70503,0,0,1225,216,0,6,72,2,16
25545,1,0,32,64,16,6,38,0,10
32880,1,0,8,15,7,8,39,0,5
77863,0,0,881,319,16,2,67,0,20
50353,0,0,141,153,67,3,48,0,15
61839,0,0,1000,379,120,8,61,0,17
49154,1,1,206,67,30,6,65,0,19
47682,0,1,162,83,97,5,50,0,19
72679,0,1,619,260,120,1,56,0,17
57954,1,1,456,24,0,7,48,1,22
65316,1,1,112,92,3,4,63,0,12
28567,1,0,11,22,2,6,43,0,7
47352,0,1,172,112,8,7,74,0,16
44931,0,1,78,11,0,5,58,0,7
76982,0,0,464,292,65,4,58,1,16
57247,0,1,99,32,37,2,73,0,12
22944,1,0,19,19,4,7,44,0,9
25315,1,0,1,8,11,8,48,0,9
43638,0,1,63,83,7,7,56,0,11
42710,1,0,252,42,4,6,41,0,14
84169,0,0,1225,403,0,3,43,2,20
54058,0,1,198,252,32,3,49,0,20
24683,1,0,8,10,6,5,35,0,8
85620,0,0,416,556,60,1,61,0,14
47850,1,0,42,43,20,6,45,0,8
19514,1,1,14,21,2,8,57,1,10
27159,1,1,17,3,0,6,52,0,6
39548,1,1,15,10,3,3,62,0,7
21474,1,0,6,24,11,7,36,1,8
60504,0,1,458,24,6,6,54,0,18
22419,0,0,30,47,19,8,62,0,8
81698,0,0,179,520,111,1,76,0,25
43462,1,1,90,97,15,8,73,0,16
54880,1,0,308,137,102,5,47,0,21
79908,0,0,557,556,29,2,43,1,19
15315,0,0,7,13,15,5,55,0,8
87771,0,1,1225,287,50,6,66,4,20
33039,1,0,30,12,8,5,47,0,7
81741,0,0,249,556,58,2,45,0,19
71499,0,1,465,132,120,4,54,0,26
62466,0,1,129,259,120,4,55,0,26
48799,0,1,174,81,28,3,62,0,15
52157,0,1,189,29,3,4,75,0,12
66565,0,1,747,161,65,8,63,0,19
29298,1,1,6,2,2,5,74,0,4
47691,0,1,14,3,0,6,46,0,4
38200,1,1,12,4,0,7,55,0,4
44989,0,1,98,106,49,6,51,0,16
38443,1,1,32,5,0,7,57,0,6
38593,1,0,51,49,17,8,47,0,11
64413,0,1,200,44,0,5,55,0,12
36959,1,0,25,25,6,8,44,0,7
61996,0,1,1050,144,0,5,48,3,21
51287,1,1,117,22,13,7,57,0,11
13260,1,1,9,17,10,8,55,0,10
47472,1,1,56,11,0,5,59,0,8
54603,1,1,145,46,17,7,69,0,16
45207,1,1,203,10,0,6,51,1,15
40689,0,1,270,27,39,8,74,0,19
47821,1,1,9,16,6,8,58,0,5
27450,0,0,37,23,8,7,74,0,7
39453,1,0,46,7,0,6,42,0,7
26850,1,1,31,13,7,4,54,0,11
79800,0,0,1060,530,32,3,70,3,21
61794,0,1,264,188,54,2,64,0,20
53863,0,1,399,30,6,7,70,1,18
24221,0,0,8,9,2,4,66,0,6
39684,1,0,19,35,6,7,41,0,7
92163,0,0,817,556,106,2,50,2,20
69882,0,0,292,556,120,1,60,0,20
33178,1,0,12,2,11,4,48,0,5
59973,0,0,130,168,20,1,53,0,15
17459,1,0,6,16,3,7,50,0,9
23910,1,0,16,18,7,7,56,0,6
42169,1,1,19,9,0,8,56,0,6
26224,1,0,4,15,13,6,47,0,9
31089,1,0,31,31,2,8,44,0,10
30081,0,1,36,2,0,7,64,0,5
62807,0,1,526,135,10,5,65,0,23
72906,0,0,400,519,71,1,70,0,17
61467,0,2,410,114,0,5,77,0,20
49618,1,1,80,26,4,7,59,0,11
21888,1,0,88,46,2,10,39,0,12
42429,0,1,55,6,2,5,52,0,7
26150,2,1,5,13,3,7,69,0,5
30801,0,1,8,5,15,7,50,0,6
81168,0,0,410,556,120,3,60,1,18
26877,0,0,101,76,20,6,56,0,12
45006,0,0,162,53,16,3,81,0,12
18978,1,0,2,1,4,8,52,0,5
22574,2,1,25,8,2,7,58,0,7
48240,0,0,389,248,64,5,56,0,25
45837,1,1,215,87,17,7,51,0,18
35791,2,1,27,5,0,8,60,0,6
117416,1,1,85,16,2,1,49,0,1
54162,1,1,5,10,6,4,47,0,5
30522,0,1,179,83,19,2,65,0,17
54456,0,1,352,27,10,6,64,0,17
31632,0,0,17,12,11,7,54,0,6
72298,0,0,625,169,58,1,76,2,14
36975,1,0,10,11,0,7,47,0,5
72635,0,0,390,323,104,3,70,1,21
13624,1,0,10,15,2,6,49,0,7
84196,0,1,215,507,120,3,50,0,20
70971,0,1,1001,556,93,7,65,0,32
34487,1,1,19,33,24,9,48,0,9
28769,1,0,41,129,10,9,48,0,12
69084,1,0,1181,199,39,8,55,0,25
65488,0,0,603,207,36,1,67,0,14
62466,0,1,129,259,120,4,55,0,26
32218,0,0,10,15,13,7,65,1,7
83917,0,0,514,556,42,3,52,0,21
46102,2,1,14,1,0,7,63,0,4
84574,0,0,387,556,38,5,73,0,31
56181,0,1,121,69,8,4,63,0,14
63120,0,1,965,279,54,7,75,0,26
73691,0,1,707,250,85,2,54,1,18
63381,0,1,571,142,33,2,65,0,26
76140,0,0,586,556,17,2,77,0,21
62859,0,1,1063,102,16,6,66,0,23
45906,0,1,305,27,4,5,61,1,15
77632,0,0,1200,556,0,2,78,2,13
46463,1,1,163,40,8,6,54,0,16
105471,0,0,1009,104,120,3,55,2,30
55282,1,0,125,73,8,4,55,0,11
78710,0,1,721,152,119,4,48,0,28
66886,0,1,315,62,41,5,67,0,17
98777,0,0,1000,556,120,1,65,1,19
29103,1,0,16,17,6,9,40,0,6
67445,0,1,757,217,29,6,51,0,32
50616,0,1,30,25,0,2,75,0,7
49431,0,1,219,100,26,8,70,0,15
117416,0,0,1,1,1,0,50,0,0
61278,0,1,111,28,2,6,72,0,10
26490,0,0,45,52,21,6,67,0,11
